Final patched KSP GameData PART inventory: 1439 parts
Source: ModuleManager.ConfigCache

0001 | ALCOR_LanderCapsule | ALCOR Pod(A) | cat=Pods | mass=1.800000 t | bulk=size1 | engines=- | gimbal=- deg | ASET/ALCOR/Part/ALCOR.cfg
0002 | ExtCamRadialVErt | External Radial-mount Camera (vertical) | cat=Utility | mass=0.000500 t | bulk=None | engines=- | gimbal=- deg | ASET/ExtCamRadialVert/ExtCamRV.cfg
0003 | light_aviation | Light, Aviation | cat=Utility | mass=0.001000 t | bulk=srf | engines=- | gimbal=- deg | AviationLights/Parts/aviation_light.cfg
0004 | lightbeacon_amber | Light, Beacon, Amber | cat=-1 | mass=0.001000 t | bulk=srf | engines=- | gimbal=- deg | AviationLights/Parts/lights/lightbeacon_amber.cfg
0005 | lightbeacon_red | Light, Beacon, Red | cat=-1 | mass=0.001000 t | bulk=srf | engines=- | gimbal=- deg | AviationLights/Parts/lights/lightbeacon_red.cfg
0006 | lightnav_blue | Light, Navigation, Blue | cat=-1 | mass=0.001000 t | bulk=srf | engines=- | gimbal=- deg | AviationLights/Parts/lights/lightnav_blue.cfg
0007 | lightnav_green | Light, Navigation, Green | cat=-1 | mass=0.001000 t | bulk=srf | engines=- | gimbal=- deg | AviationLights/Parts/lights/lightnav_green.cfg
0008 | lightnav_red | Light, Navigation, Red | cat=-1 | mass=0.001000 t | bulk=srf | engines=- | gimbal=- deg | AviationLights/Parts/lights/lightnav_red.cfg
0009 | lightnav_white | Light, Navigation, White | cat=-1 | mass=0.001000 t | bulk=srf | engines=- | gimbal=- deg | AviationLights/Parts/lights/lightnav_white.cfg
0010 | lightstrobe_white | Light, Strobe, White | cat=-1 | mass=0.001000 t | bulk=srf | engines=- | gimbal=- deg | AviationLights/Parts/lights/lightstrobe_white.cfg
0011 | B10_APASv2 | C-100 Androgynous Docking Mechanism | cat=Coupling | mass=0.060000 t | bulk=size0p5 | engines=- | gimbal=- deg | Benjee10_sharedAssets/Parts/APAS/B10_APASv2.cfg
0012 | B10_hybrid_female | C-150 Hybrid Docking Mechanism (Female) | cat=Coupling | mass=0.075000 t | bulk=size0p5 | engines=- | gimbal=- deg | Benjee10_sharedAssets/Parts/APAS/B10_hybrid_female.cfg
0013 | B10_hybrid_male | C-150 Hybrid Docking Mechanism (Male) | cat=Coupling | mass=0.075000 t | bulk=size0p5 | engines=- | gimbal=- deg | Benjee10_sharedAssets/Parts/APAS/B10_hybrid_male.cfg
0014 | B10_IDA | C-100 Mk II Docking Adapter (Passive) | cat=Coupling | mass=0.070000 t | bulk=size0p5 | engines=- | gimbal=- deg | Benjee10_sharedAssets/Parts/APAS/B10_IDA.cfg
0015 | B10_NDS | C-100 Mk II Androgynous Docking Mechanism (Active) | cat=Coupling | mass=0.050000 t | bulk=size0p5 | engines=- | gimbal=- deg | Benjee10_sharedAssets/Parts/APAS/B10_NDS.cfg
0016 | B10_NDS_passive | C-100 Mk II Androgynous Docking Mechanism (Passive) | cat=Coupling | mass=0.035000 t | bulk=size0p5 | engines=- | gimbal=- deg | Benjee10_sharedAssets/Parts/APAS/B10_NDS_passive.cfg
0017 | ht2_CBM | C-200 Common Berthing Mechanism (Passive) | cat=Coupling | mass=0.080000 t | bulk=size1, srf | engines=- | gimbal=- deg | Benjee10_sharedAssets/Parts/CBM/ht2_CBM.cfg
0018 | ht2_CBM_active1 | C-200 Common Berthing Mechanism (Active Type I) | cat=Coupling | mass=0.080000 t | bulk=size1, srf | engines=- | gimbal=- deg | Benjee10_sharedAssets/Parts/CBM/ht2_CBM_active1.cfg
0019 | ht2_CBM_active2 | C-200 Common Berthing Mechanism (Active Type II) | cat=Coupling | mass=0.080000 t | bulk=size1, srf | engines=- | gimbal=- deg | Benjee10_sharedAssets/Parts/CBM/ht2_CBM_active2.cfg
0020 | benjee10_AJ10_v2 | KJ-10b "Viking" Orbital Manoeuvring Engine | cat=Engine | mass=0.800000 t | bulk=size0 | engines=- 30 kN | gimbal=5 deg | Benjee10_sharedAssets/Parts/Engines/AJ10_v2.cfg
