q_pa,mach,alpha_deg,lift_per_q_m2,drag_per_q_m2,support
3000,0.3,5,41.476736,53.695458,4
9000,0.3,5,41.476736,53.695458,4
3000,0.3,10,81.693221,60.957528,4
9000,0.3,10,81.693221,60.957528,4
3000,0.3,15,119.427500,72.815556,4
9000,0.3,15,119.427500,72.815556,4
3000,0.3,20,153.533035,88.909241,4
9000,0.3,20,153.533035,88.909241,4
3000,0.3,25,182.973546,108.749585,4
9000,0.3,25,182.973546,108.749585,4
3000,0.3,28,197.302117,122.540084,4
9000,0.3,28,197.302117,122.540084,4
3000,0.5,5,41.836187,61.216651,4
9000,0.5,5,41.836187,61.216651,4
3000,0.5,10,82.401203,68.541657,4
9000,0.5,10,82.401203,68.541657,4
3000,0.5,15,120.462500,80.502450,4
9000,0.5,15,120.462500,80.502450,4
3000,0.5,20,154.863605,96.735609,4
9000,0.5,20,154.863605,96.735609,4
3000,0.5,25,184.559258,116.747897,4
9000,0.5,25,184.559258,116.747897,4
3000,0.5,28,199.012005,130.657909,4
9000,0.5,28,199.012005,130.657909,4
3000,0.7,5,42.195639,68.737844,4
9000,0.7,5,42.195639,68.737844,4
3000,0.7,10,83.109185,76.125786,4
9000,0.7,10,83.109185,76.125786,4
3000,0.7,15,121.497500,88.189345,4
9000,0.7,15,121.497500,88.189345,4
3000,0.7,20,156.194175,104.561977,4
9000,0.7,20,156.194175,104.561977,4
3000,0.7,25,186.144970,124.746208,4
9000,0.7,25,186.144970,124.746208,4
3000,0.7,28,200.721894,138.775733,4
9000,0.7,28,200.721894,138.775733,4
3000,0.9,5,42.555091,76.259038,4
9000,0.9,5,42.555091,76.259038,4
3000,0.9,10,83.817166,83.709914,4
9000,0.9,10,83.817166,83.709914,4
3000,0.9,15,122.532500,95.876239,4
9000,0.9,15,122.532500,95.876239,4
3000,0.9,20,157.524746,112.388345,4
9000,0.9,20,157.524746,112.388345,4
3000,0.9,25,187.730681,132.744519,4
9000,0.9,25,187.730681,132.744519,4
3000,0.9,28,202.431782,146.893558,4
9000,0.9,28,202.431782,146.893558,4
1500,1.1,5,42.914542,83.780231,4
6000,1.1,5,42.914542,83.780231,4
1500,1.1,10,84.525148,91.294043,4
6000,1.1,10,84.525148,91.294043,4
1500,1.1,15,123.567500,103.563134,4
6000,1.1,15,123.567500,103.563134,4
1500,1.1,20,158.855316,120.214713,4
6000,1.1,20,158.855316,120.214713,4
1500,1.1,25,189.316393,140.742831,4
6000,1.1,25,189.316393,140.742831,4
