q_pa,mach,alpha_deg,lift_per_q_m2,drag_per_q_m2,support
3000,0.3,5,41.476736,28.070458,4
9000,0.3,5,41.476736,28.070458,4
3000,0.3,10,81.693221,35.332528,4
9000,0.3,10,81.693221,35.332528,4
3000,0.3,15,119.427500,47.190556,4
9000,0.3,15,119.427500,47.190556,4
3000,0.3,20,153.533035,63.284241,4
9000,0.3,20,153.533035,63.284241,4
3000,0.3,25,182.973546,83.124585,4
9000,0.3,25,182.973546,83.124585,4
3000,0.3,28,197.302117,96.915084,4
9000,0.3,28,197.302117,96.915084,4
3000,0.5,5,41.836187,31.841651,4
9000,0.5,5,41.836187,31.841651,4
3000,0.5,10,82.401203,39.166657,4
9000,0.5,10,82.401203,39.166657,4
3000,0.5,15,120.462500,51.127450,4
9000,0.5,15,120.462500,51.127450,4
3000,0.5,20,154.863605,67.360609,4
9000,0.5,20,154.863605,67.360609,4
3000,0.5,25,184.559258,87.372897,4
9000,0.5,25,184.559258,87.372897,4
3000,0.5,28,199.012005,101.282909,4
9000,0.5,28,199.012005,101.282909,4
3000,0.7,5,42.195639,35.612844,4
9000,0.7,5,42.195639,35.612844,4
3000,0.7,10,83.109185,43.000786,4
9000,0.7,10,83.109185,43.000786,4
3000,0.7,15,121.497500,55.064345,4
9000,0.7,15,121.497500,55.064345,4
3000,0.7,20,156.194175,71.436977,4
9000,0.7,20,156.194175,71.436977,4
3000,0.7,25,186.144970,91.621208,4
9000,0.7,25,186.144970,91.621208,4
3000,0.7,28,200.721894,105.650733,4
9000,0.7,28,200.721894,105.650733,4
3000,0.9,5,35.013594,42.349215,4
9000,0.9,5,35.013594,42.349215,4
3000,0.9,10,68.963317,49.139880,4
9000,0.9,10,68.963317,49.139880,4
3000,0.9,15,100.817625,60.228164,4
9000,0.9,15,100.817625,60.228164,4
3000,0.9,20,129.608640,75.277154,4
9000,0.9,20,129.608640,75.277154,4
3000,0.9,25,154.461563,93.829596,4
9000,0.9,25,154.461563,93.829596,4
3000,0.9,28,166.557374,106.724907,4
9000,0.9,28,166.557374,106.724907,4
1500,1.1,5,20.290052,52.050764,4
6000,1.1,5,20.290052,52.050764,4
1500,1.1,10,39.963600,57.583940,4
6000,1.1,10,39.963600,57.583940,4
1500,1.1,15,58.422875,66.618906,4
6000,1.1,15,58.422875,66.618906,4
1500,1.1,20,75.107000,78.881140,4
6000,1.1,20,75.107000,78.881140,4
1500,1.1,25,89.509037,93.998059,4
6000,1.1,25,89.509037,93.998059,4
1500,1.1,28,96.518448,104.505430,4
6000,1.1,28,96.518448,104.505430,4
1500,1.4,5,13.036116,56.915313,4
6000,1.4,5,13.036116,56.915313,4
1500,1.4,10,25.676136,61.860654,4
6000,1.4,10,25.676136,61.860654,4
1500,1.4,15,37.536000,69.935759,4
6000,1.4,15,37.536000,69.935759,4
1500,1.4,20,48.255351,80.895272,4
6000,1.4,20,48.255351,80.895272,4
1500,1.4,25,57.508488,94.406193,4
6000,1.4,25,57.508488,94.406193,4
1500,1.4,28,62.011951,103.797277,4
6000,1.4,28,62.011951,103.797277,4
1500,1.8,5,13.251787,56.942864,4
6000,1.8,5,13.251787,56.942864,4
1500,1.8,10,26.100925,61.970021,4
6000,1.8,10,26.100925,61.970021,4
1500,1.8,15,38.157000,70.178722,4
6000,1.8,15,38.157000,70.178722,4
1500,1.8,20,49.053694,81.319551,4
6000,1.8,20,49.053694,81.319551,4
1500,1.8,25,58.459916,95.053998,4
6000,1.8,25,58.459916,95.053998,4
1500,1.8,28,63.037884,104.600449,4
6000,1.8,28,63.037884,104.600449,4
1500,2.3,5,13.521376,58.277303,4
6000,2.3,5,13.521376,58.277303,4
1500,2.3,10,26.631912,63.406730,4
6000,2.3,10,26.631912,63.406730,4
1500,2.3,15,38.933250,71.782426,4
6000,2.3,15,38.933250,71.782426,4
1500,2.3,20,50.051621,83.149899,4
6000,2.3,20,50.051621,83.149899,4
1500,2.3,25,59.649200,97.163754,4
6000,2.3,25,59.649200,97.163754,4
1500,2.3,28,64.320300,106.904414,4
6000,2.3,28,64.320300,106.904414,4
150,3,5,13.898800,61.358851,4
1200,3,5,13.898800,61.358851,4
150,3,10,27.375292,66.631457,4
1200,3,10,27.375292,66.631457,4
150,3,15,40.020000,75.240944,4
1200,3,15,40.020000,75.240944,4
150,3,20,51.448720,86.925719,4
1200,3,20,51.448720,86.925719,4
150,3,25,61.314197,101.330745,4
1200,3,25,61.314197,101.330745,4
150,3,28,66.115683,111.343298,4
1200,3,28,66.115683,111.343298,4
150,4,5,14.437978,65.761062,4
1200,4,5,14.437978,65.761062,4
150,4,10,28.437265,71.238209,4
1200,4,10,28.437265,71.238209,4
150,4,15,41.572500,80.181685,4
1200,4,15,41.572500,80.181685,4
150,4,20,53.444576,92.319749,4
1200,4,20,53.444576,92.319749,4
150,4,25,63.692765,107.283590,4
1200,4,25,63.692765,107.283590,4
150,4,28,68.680515,117.684561,4
1200,4,28,68.680515,117.684561,4
150,5,5,14.977155,70.163274,4
1200,5,5,14.977155,70.163274,4
150,5,10,29.499237,75.844960,4
1200,5,10,29.499237,75.844960,4
150,5,15,43.125000,85.122426,4
1200,5,15,43.125000,85.122426,4
150,5,20,55.440431,97.713778,4
1200,5,20,55.440431,97.713778,4
150,5,25,66.071333,113.236435,4
1200,5,25,66.071333,113.236435,4
150,5,28,71.245348,124.025824,4
1200,5,28,71.245348,124.025824,4
150,6,5,14.977155,70.163274,4
1200,6,5,14.977155,70.163274,4
150,6,10,29.499237,75.844960,4
1200,6,10,29.499237,75.844960,4
150,6,15,43.125000,85.122426,4
1200,6,15,43.125000,85.122426,4
150,6,20,55.440431,97.713778,4
1200,6,20,55.440431,97.713778,4
150,6,25,66.071333,113.236435,4
1200,6,25,66.071333,113.236435,4
150,6,28,71.245348,124.025824,4
1200,6,28,71.245348,124.025824,4
150,7,5,14.977155,70.163274,4
1200,7,5,14.977155,70.163274,4
150,7,10,29.499237,75.844960,4
1200,7,10,29.499237,75.844960,4
150,7,15,43.125000,85.122426,4
