q_pa,mach,alpha_deg,lift_per_q_m2,drag_per_q_m2,support
3000,0.3,5,41.476736,14.211821,4
9000,0.3,5,41.476736,14.211821,4
3000,0.3,10,81.693221,19.295270,4
9000,0.3,10,81.693221,19.295270,4
3000,0.3,15,119.427500,27.595889,4
9000,0.3,15,119.427500,27.595889,4
3000,0.3,20,153.533035,38.861469,4
9000,0.3,20,153.533035,38.861469,4
3000,0.3,25,182.973546,52.749710,4
9000,0.3,25,182.973546,52.749710,4
3000,0.3,28,197.302117,62.403059,4
9000,0.3,28,197.302117,62.403059,4
3000,0.5,5,41.836187,14.226656,4
9000,0.5,5,41.836187,14.226656,4
3000,0.5,10,82.401203,19.354160,4
9000,0.5,10,82.401203,19.354160,4
3000,0.5,15,120.462500,27.726715,4
9000,0.5,15,120.462500,27.726715,4
3000,0.5,20,154.863605,39.089926,4
9000,0.5,20,154.863605,39.089926,4
3000,0.5,25,184.559258,53.098528,4
9000,0.5,25,184.559258,53.098528,4
3000,0.5,28,199.012005,62.835536,4
9000,0.5,28,199.012005,62.835536,4
3000,0.7,5,42.195639,14.241491,4
9000,0.7,5,42.195639,14.241491,4
3000,0.7,10,83.109185,19.413050,4
9000,0.7,10,83.109185,19.413050,4
3000,0.7,15,121.497500,27.857541,4
9000,0.7,15,121.497500,27.857541,4
3000,0.7,20,156.194175,39.318384,4
9000,0.7,20,156.194175,39.318384,4
3000,0.7,25,186.144970,53.447346,4
9000,0.7,25,186.144970,53.447346,4
3000,0.7,28,200.721894,63.268013,4
9000,0.7,28,200.721894,63.268013,4
3000,0.9,5,36.629629,24.912066,4
9000,0.9,5,36.629629,24.912066,4
3000,0.9,10,72.146285,30.033364,4
9000,0.9,10,72.146285,30.033364,4
3000,0.9,15,105.470812,38.395785,4
9000,0.9,15,105.470812,38.395785,4
3000,0.9,20,135.590663,49.745243,4
9000,0.9,20,135.590663,49.745243,4
3000,0.9,25,161.590660,63.736889,4
9000,0.9,25,161.590660,63.736889,4
3000,0.9,28,174.244747,73.462112,4
9000,0.9,28,174.244747,73.462112,4
1500,1.1,5,25.138157,46.238380,4
6000,1.1,5,25.138157,46.238380,4
1500,1.1,10,49.512503,51.215101,4
6000,1.1,10,49.512503,51.215101,4
1500,1.1,15,72.382437,59.341447,4
6000,1.1,15,72.382437,59.341447,4
1500,1.1,20,93.053068,70.370503,4
6000,1.1,20,93.053068,70.370503,4
1500,1.1,25,110.896328,83.967157,4
6000,1.1,25,110.896328,83.967157,4
1500,1.1,28,119.580567,93.417832,4
6000,1.1,28,119.580567,93.417832,4
