mach,alpha_deg,cl,cd
0,-5,-0.131000185,0.089654673
0,0,0,0.08
0,5,0.163750232,0.089654673
0,10,0.322524995,0.118325339
0,15,0.4715,0.165140856
0,20,0.606148716,0.228678756
0,25,0.72237991,0.307008474
0,30,0.816661956,0.39775
0,35,0.886130141,0.498146199
0,40,0.928673711,0.605146583
0,45,0.943,0.7155
0.8,-5,-0.135601167,0.149993764
0.8,0,0,0.14
0.8,5,0.169501459,0.149993764
0.8,10,0.333852702,0.1796714
0.8,15,0.48806,0.228131169
0.8,20,0.627437842,0.293900644
0.8,25,0.747751302,0.374981455
0.8,30,0.845344717,0.46891
0.8,35,0.917252761,0.572832309
0.8,40,0.961290544,0.683590756
0.8,45,0.97612,0.79782
1.2,-5,-0.0413704974,0.227606151
1.2,0,0,0.221
1.2,5,0.0517131219,0.227606151
1.2,10,0.101854967,0.24722388
1.2,15,0.148902,0.279257111
1.2,20,0.191424721,0.322732532
1.2,25,0.228131099,0.376329164
1.2,30,0.257905829,0.4384185
1.2,35,0.279844221,0.507113987
1.2,40,0.293279688,0.580328347
1.2,45,0.297804,0.655837
2,-5,-0.0427507923,0.22782656
2,0,0,0.221
2,5,0.0534384903,0.22782656
2,10,0.105253279,0.248098819
2,15,0.15387,0.281200815
2,20,0.197811459,0.326126759
2,25,0.235742517,0.381511601
2,30,0.266510658,0.4456725
2,35,0.289181007,0.516659959
2,40,0.303064737,0.59231706
2,45,0.30774,0.670345
5,-5,-0.0479268969,0.280653094
5,0,0,0.273
5,5,0.0599086212,0.280653094
5,10,0.11799695,0.303379842
5,15,0.1725,0.340489703
5,20,0.221761725,0.390855112
5,25,0.264285333,0.452945741
5,30,0.298778764,0.524875
5,35,0.324193953,0.604457353
5,40,0.339758676,0.689274729
5,45,0.345,0.77675
10,-5,-0.0479268969,0.280653094
10,0,0,0.273
10,5,0.0599086212,0.280653094
10,10,0.11799695,0.303379842
10,15,0.1725,0.340489703
10,20,0.221761725,0.390855112
10,25,0.264285333,0.452945741
10,30,0.298778764,0.524875
10,35,0.324193953,0.604457353
10,40,0.339758676,0.689274729
10,45,0.345,0.77675
15,-5,-0.0479268969,0.280653094
15,0,0,0.273
15,5,0.0599086212,0.280653094
15,10,0.11799695,0.303379842
15,15,0.1725,0.340489703
15,20,0.221761725,0.390855112
15,25,0.264285333,0.452945741
15,30,0.298778764,0.524875
15,35,0.324193953,0.604457353
15,40,0.339758676,0.689274729
15,45,0.345,0.77675
25,-5,-0.0479268969,0.280653094
25,0,0,0.273
25,5,0.0599086212,0.280653094
25,10,0.11799695,0.303379842
25,15,0.1725,0.340489703
25,20,0.221761725,0.390855112
25,25,0.264285333,0.452945741
25,30,0.298778764,0.524875
25,35,0.324193953,0.604457353
25,40,0.339758676,0.689274729
25,45,0.345,0.77675
