mach,alpha_deg,cl,cd
0,-5,-0.131000185,0.0567582711
0,0,0,0.05
0,5,0.163750232,0.0567582711
0,10,0.322524995,0.0768277373
0,15,0.4715,0.109598599
0,20,0.606148716,0.154075129
0,25,0.72237991,0.208905932
0,30,0.816661956,0.272425
0,35,0.886130141,0.342702339
0,40,0.928673711,0.417602608
0,45,0.943,0.49485
0.8,-5,-0.135601167,0.0569956348
0.8,0,0,0.05
0.8,5,0.169501459,0.0569956348
0.8,10,0.333852702,0.07776998
0.8,15,0.48806,0.111691818
0.8,20,0.627437842,0.157730451
0.8,25,0.747751302,0.214487019
0.8,30,0.845344717,0.280237
0.8,35,0.917252761,0.352982616
0.8,40,0.961290544,0.430513529
0.8,45,0.97612,0.510474
1.2,-5,-0.0620557461,0.227606151
1.2,0,0,0.221
1.2,5,0.0775696829,0.227606151
1.2,10,0.15278245,0.24722388
1.2,15,0.223353,0.279257111
1.2,20,0.287137082,0.322732532
1.2,25,0.342196649,0.376329164
1.2,30,0.386858744,0.4384185
1.2,35,0.419766332,0.507113987
1.2,40,0.439919532,0.580328347
1.2,45,0.446706,0.655837
2,-5,-0.0641261884,0.22782656
2,0,0,0.221
2,5,0.0801577354,0.22782656
2,10,0.157879918,0.248098819
2,15,0.230805,0.281200815
2,20,0.296717189,0.326126759
2,25,0.353613775,0.381511601
2,30,0.399765987,0.4456725
2,35,0.43377151,0.516659959
2,40,0.454597105,0.59231706
2,45,0.46161,0.670345
5,-5,-0.0718903453,0.280653094
5,0,0,0.273
5,5,0.0898629318,0.280653094
5,10,0.176995424,0.303379842
5,15,0.25875,0.340489703
5,20,0.332642588,0.390855112
5,25,0.396427999,0.452945741
5,30,0.448168146,0.524875
5,35,0.486290929,0.604457353
5,40,0.509638014,0.689274729
5,45,0.5175,0.77675
10,-5,-0.0718903453,0.280653094
10,0,0,0.273
10,5,0.0898629318,0.280653094
10,10,0.176995424,0.303379842
10,15,0.25875,0.340489703
10,20,0.332642588,0.390855112
10,25,0.396427999,0.452945741
10,30,0.448168146,0.524875
10,35,0.486290929,0.604457353
10,40,0.509638014,0.689274729
10,45,0.5175,0.77675
15,-5,-0.0718903453,0.280653094
15,0,0,0.273
15,5,0.0898629318,0.280653094
15,10,0.176995424,0.303379842
15,15,0.25875,0.340489703
15,20,0.332642588,0.390855112
15,25,0.396427999,0.452945741
15,30,0.448168146,0.524875
15,35,0.486290929,0.604457353
15,40,0.509638014,0.689274729
15,45,0.5175,0.77675
25,-5,-0.0718903453,0.280653094
25,0,0,0.273
25,5,0.0898629318,0.280653094
25,10,0.176995424,0.303379842
25,15,0.25875,0.340489703
25,20,0.332642588,0.390855112
25,25,0.396427999,0.452945741
25,30,0.448168146,0.524875
25,35,0.486290929,0.604457353
25,40,0.509638014,0.689274729
25,45,0.5175,0.77675
