mach,alpha_deg,cl,cd
0,-5,-0.131000185,0.169654673
0,0,0,0.16
0,5,0.163750232,0.169654673
0,10,0.322524995,0.198325339
0,15,0.4715,0.245140856
0,20,0.606148716,0.308678756
0,25,0.72237991,0.387008474
0,30,0.816661956,0.47775
0,35,0.886130141,0.578146199
0,40,0.928673711,0.685146583
0,45,0.943,0.7955
0.8,-5,-0.135601167,0.289993764
0.8,0,0,0.28
0.8,5,0.169501459,0.289993764
0.8,10,0.333852702,0.3196714
0.8,15,0.48806,0.368131169
0.8,20,0.627437842,0.433900644
0.8,25,0.747751302,0.514981455
0.8,30,0.845344717,0.60891
0.8,35,0.917252761,0.712832309
0.8,40,0.961290544,0.823590756
0.8,45,0.97612,0.93782
1.2,-5,-0.137901658,0.350163309
1.2,0,0,0.34
1.2,5,0.172377073,0.350163309
1.2,10,0.339516556,0.380344431
1.2,15,0.49634,0.429626325
1.2,20,0.638082404,0.496511588
1.2,25,0.760436998,0.578967945
1.2,30,0.859686098,0.67449
1.2,35,0.932814071,0.780175365
1.2,40,0.97759896,0.892812842
1.2,45,0.99268,1.00898
2,-5,-0.142502641,0.3505024
2,0,0,0.34
2,5,0.178128301,0.3505024
2,10,0.350844263,0.381690491
2,15,0.5129,0.432616638
2,20,0.65937153,0.501733476
2,25,0.78580839,0.586940925
2,30,0.888368859,0.68565
2,35,0.96393669,0.794861475
2,40,1.01021579,0.911257015
2,45,1.0258,1.0313
5,-5,-0.159756323,0.431773991
5,0,0,0.42
5,5,0.199695404,0.431773991
5,10,0.393323165,0.466738219
5,15,0.575,0.523830312
5,20,0.739205751,0.601315557
5,25,0.88095111,0.696839602
5,30,0.995929214,0.8075
5,35,1.08064651,0.929934389
5,40,1.13252892,1.06042266
5,45,1.15,1.195
10,-5,-0.159756323,0.431773991
10,0,0,0.42
10,5,0.199695404,0.431773991
10,10,0.393323165,0.466738219
10,15,0.575,0.523830312
10,20,0.739205751,0.601315557
10,25,0.88095111,0.696839602
10,30,0.995929214,0.8075
10,35,1.08064651,0.929934389
10,40,1.13252892,1.06042266
10,45,1.15,1.195
15,-5,-0.159756323,0.431773991
15,0,0,0.42
15,5,0.199695404,0.431773991
15,10,0.393323165,0.466738219
15,15,0.575,0.523830312
15,20,0.739205751,0.601315557
15,25,0.88095111,0.696839602
15,30,0.995929214,0.8075
15,35,1.08064651,0.929934389
15,40,1.13252892,1.06042266
15,45,1.15,1.195
25,-5,-0.159756323,0.431773991
25,0,0,0.42
25,5,0.199695404,0.431773991
25,10,0.393323165,0.466738219
25,15,0.575,0.523830312
25,20,0.739205751,0.601315557
25,25,0.88095111,0.696839602
25,30,0.995929214,0.8075
25,35,1.08064651,0.929934389
25,40,1.13252892,1.06042266
25,45,1.15,1.195
