# model=kerbin_stock_spatial  ShuttleSim reference atmosphere: stock Kerbin pressure/temperature curves (world_seed_kerbin nominal table, 100 m spacing).
altitude_m,density_kg_m3,pressure_pa,temperature_k,speed_of_sound_mps
0.0,1.13992396443,101325,309.650000,352.764097
100.0,1.12610220109,99832.374,308.833176,352.298513
200.0,1.11244044529,98357.6506,308.007812,351.827435
300.0,1.0989364311,96900.6691,307.174076,351.350937
400.0,1.08558792326,95461.2685,306.332132,350.869092
500.0,1.07239271616,94039.288,305.482146,350.381972
600.0,1.05934863279,92634.5667,304.624283,349.889650
700.0,1.0464535238,91246.9438,303.758709,349.392200
800.0,1.03370526645,89876.2582,302.885589,348.889694
900.0,1.02110176369,88522.3493,302.005089,348.382207
1000.0,1.00864094321,87185.0561,301.117374,347.869812
1100.0,0.996320756468,85864.2177,300.222609,347.352584
1200.0,0.984139177827,84559.6733,299.320961,346.830596
1300.0,0.972094349724,83271.2744,298.412594,346.303922
1400.0,0.960184347429,81998.8652,297.497675,345.772639
1500.0,0.948407262868,80742.2891,296.576368,345.236820
1600.0,0.936761304767,79501.398,295.648839,344.696541
1700.0,0.925244702294,78276.0436,294.715254,344.151878
1800.0,0.913855704276,77066.0777,293.775778,343.602906
1900.0,0.90259257843,75871.3522,292.830576,343.049703
2000.0,0.891453610607,74691.7189,291.879815,342.492343
2100.0,0.880437104035,73527.0295,290.923658,341.930905
2200.0,0.869541378587,72377.1359,289.962273,341.365466
2300.0,0.858764770049,71241.8898,288.995824,340.796103
2400.0,0.848105629398,70121.1431,288.024477,340.222894
2500.0,0.837562453647,69014.7584,287.048398,339.645918
2600.0,0.827133670238,67922.5913,286.067751,339.065254
2700.0,0.816817734863,66844.4987,285.082703,338.480980
2800.0,0.806613199816,65780.3442,284.093419,337.893177
2900.0,0.796518631195,64729.9915,283.100064,337.301925
3000.0,0.786532608275,63693.3041,282.102803,336.707304
3100.0,0.776653722906,62670.1457,281.101803,336.109395
3200.0,0.7668805789,61660.3799,280.097229,335.508280
3300.0,0.757211791433,60663.8704,279.089246,334.904041
3400.0,0.747645986456,59680.4807,278.078020,334.296760
