# STS-N aerodynamics identified from live KSP telemetry (ShuttleSim/tools/identify_stsn_aero.py). M<=0.90: CL=CL0+K sin a cos a, CD=CD0+KD sin^2 a (clean configuration; gear/airbrake increments in the report). M>=1.10: KSP-fitted table stsn_aero_ksp_robust.csv. See the report for held-out validation.
mach,alpha_deg,cl,cd
0,-10,-0.826803,0.224773
0,-5,-0.418643,0.092187
0,-2,-0.166793,0.054699
0,0,0.002308,0.047540
0,2,0.171409,0.054699
0,4,0.339686,0.076140
0,6,0.506320,0.111760
0,8,0.670498,0.161385
0,10,0.831420,0.224773
0,12,0.988303,0.301614
0,14,1.140383,0.391536
0,16,1.286918,0.494100
0,18,1.427194,0.608805
0,20,1.560529,0.735094
0,22,1.560529,0.810761
0,25,1.560529,0.928414
0,28,1.560529,1.051960
0,30,1.560529,1.138177
0,35,1.560529,1.370260
0,40,1.560529,1.632632
0,45,1.560529,1.936580
0.05,-10,-0.826803,0.224773
0.05,-5,-0.418643,0.092187
0.05,-2,-0.166793,0.054699
0.05,0,0.002308,0.047540
0.05,2,0.171409,0.054699
0.05,4,0.339686,0.076140
0.05,6,0.506320,0.111760
0.05,8,0.670498,0.161385
0.05,10,0.831420,0.224773
0.05,12,0.988303,0.301614
0.05,14,1.140383,0.391536
0.05,16,1.286918,0.494100
0.05,18,1.427194,0.608805
0.05,20,1.560529,0.735094
0.05,22,1.560529,0.810761
0.05,25,1.560529,0.928414
0.05,28,1.560529,1.051960
0.05,30,1.560529,1.138177
0.05,35,1.560529,1.370260
0.05,40,1.560529,1.632632
0.05,45,1.560529,1.936580
0.1,-10,-0.826803,0.224773
0.1,-5,-0.418643,0.092187
0.1,-2,-0.166793,0.054699
0.1,0,0.002308,0.047540
0.1,2,0.171409,0.054699
0.1,4,0.339686,0.076140
0.1,6,0.506320,0.111760
0.1,8,0.670498,0.161385
0.1,10,0.831420,0.224773
0.1,12,0.988303,0.301614
0.1,14,1.140383,0.391536
0.1,16,1.286918,0.494100
0.1,18,1.427194,0.608805
0.1,20,1.560529,0.735094
0.1,22,1.560529,0.810761
0.1,25,1.560529,0.928414
0.1,28,1.560529,1.051960
0.1,30,1.560529,1.138177
0.1,35,1.560529,1.370260
0.1,40,1.560529,1.632632
0.1,45,1.560529,1.936580
0.15,-10,-0.755445,0.224996
0.15,-5,-0.382413,0.103822
0.15,-2,-0.152239,0.069560
0.15,0,0.002308,0.063017
0.15,2,0.156855,0.069560
0.15,4,0.310650,0.089156
0.15,6,0.462942,0.121710
0.15,8,0.612989,0.167064
0.15,10,0.760062,0.224996
0.15,12,0.903443,0.295224
0.15,14,1.042433,0.377407
0.15,16,1.176357,0.471143
0.15,18,1.304560,0.575977
0.15,20,1.426419,0.691396
0.15,22,1.426419,0.760551
0.15,25,1.426419,0.868078
0.15,28,1.426419,0.980991
0.15,30,1.426419,1.059788
0.15,35,1.426419,1.271896
0.15,40,1.426419,1.511687
0.15,45,1.426419,1.789475
0.2,-10,-0.654185,0.214278
0.2,-5,-0.331002,0.109297
0.2,-2,-0.131586,0.079613
0.2,0,0.002308,0.073945
0.2,2,0.136203,0.079613
0.2,4,0.269445,0.096591
0.2,6,0.401386,0.124795
0.2,8,0.531382,0.164088
0.2,10,0.658801,0.214278
0.2,12,0.783022,0.275122
0.2,14,0.903439,0.346322
0.2,16,1.019466,0.427532
0.2,18,1.130537,0.518357
0.2,20,1.236112,0.618352
0.2,22,1.236112,0.678266
0.2,25,1.236112,0.771423
0.2,28,1.236112,0.869248
0.2,30,1.236112,0.937515
0.2,35,1.236112,1.121278
0.2,40,1.236112,1.329026
0.2,45,1.236112,1.569692
0.25,-10,-0.553298,0.196502
0.25,-5,-0.279781,0.107654
0.25,-2,-0.111010,0.082532
0.25,0,0.002308,0.077734
0.25,2,0.115627,0.082532
0.25,4,0.228393,0.096900
0.25,6,0.340058,0.120770
0.25,8,0.450077,0.154025
0.25,10,0.557915,0.196502
0.25,12,0.663046,0.247996
0.25,14,0.764958,0.308254
0.25,16,0.863155,0.376985
0.25,18,0.957157,0.453851
0.25,20,1.046508,0.538480
0.25,22,1.046508,0.589187
0.25,25,1.046508,0.668028
0.25,28,1.046508,0.750820
0.25,30,1.046508,0.808596
0.25,35,1.046508,0.964120
0.25,40,1.046508,1.139942
0.25,45,1.046508,1.343624
0.3,-10,-0.488367,0.180986
0.3,-5,-0.246814,0.102521
0.3,-2,-0.097767,0.080335
0.3,0,0.002308,0.076098
0.3,2,0.102384,0.080335
0.3,4,0.201971,0.093024
0.3,6,0.300586,0.114104
0.3,8,0.397748,0.143473
0.3,10,0.492983,0.180986
0.3,12,0.585828,0.226462
0.3,14,0.675830,0.279678
0.3,16,0.762550,0.340376
0.3,18,0.845567,0.408260
0.3,20,0.924476,0.482998
0.3,22,0.924476,0.527779
0.3,25,0.924476,0.597406
0.3,28,0.924476,0.670522
0.3,30,0.924476,0.721546
0.3,35,0.924476,0.858895
0.3,40,0.924476,1.014169
0.3,45,0.924476,1.194047
0.35,-10,-0.460371,0.173070
0.35,-5,-0.232600,0.099082
0.35,-2,-0.092057,0.078162
0.35,0,0.002308,0.074167
0.35,2,0.096674,0.078162
0.35,4,0.190579,0.090127
0.35,6,0.283568,0.110005
0.35,8,0.375186,0.137697
0.35,10,0.464988,0.173070
0.35,12,0.552535,0.215951
0.35,14,0.637402,0.266131
0.35,16,0.719174,0.323366
0.35,18,0.797454,0.387377
0.35,20,0.871861,0.457851
0.35,22,0.871861,0.500077
0.35,25,0.871861,0.565731
0.35,28,0.871861,0.634676
0.35,30,0.871861,0.682789
0.35,35,0.871861,0.812300
0.35,40,0.871861,0.958715
0.35,45,0.871861,1.128331
0.4,-10,-0.442473,0.167864
0.4,-5,-0.223513,0.096738
0.4,-2,-0.088407,0.076627
0.4,0,0.002308,0.072787
0.4,2,0.093024,0.076627
0.4,4,0.183297,0.088129
0.4,6,0.272688,0.107238
0.4,8,0.360762,0.133859
0.4,10,0.447090,0.167864
0.4,12,0.531251,0.209086
0.4,14,0.612835,0.257325
0.4,16,0.691444,0.312346
0.4,18,0.766696,0.373881
0.4,20,0.838225,0.441629
0.4,22,0.838225,0.482221
