# Guidance certified aero prior sampled from stsn_aero_identified.csv (identified model, flown support only).
q_pa,mach,aoa_deg,lift_per_q_m2,drag_per_q_m2,support
1759.4,0.150,9.702,184.595899,53.896236,3
1759.4,0.150,10.544,199.870368,60.726392,3
1759.4,0.150,11.386,214.972653,68.097825,3
1759.4,0.150,12.229,229.889707,76.004166,3
1759.4,0.150,13.071,244.608643,84.438584,3
1759.4,0.150,13.913,259.116743,93.393793,3
1759.4,0.150,14.755,273.401473,102.862055,3
1759.4,0.150,15.597,287.450491,112.835190,3
1759.4,0.150,16.439,301.251660,123.304581,3
2714.1,0.200,7.113,118.504800,36.326703,7
2714.1,0.200,7.710,128.175264,39.429348,7
2714.1,0.200,8.308,137.790278,42.775698,7
2714.1,0.200,8.905,147.345664,46.364300,7
2714.1,0.200,9.502,156.837269,50.193593,7
2714.1,0.200,10.099,166.260967,54.261913,7
2714.1,0.200,10.696,175.612666,58.567493,7
2714.1,0.200,11.294,184.888299,63.108462,7
2714.1,0.200,11.891,194.083836,67.882846,7
4260.2,0.250,5.070,72.078762,27.124286,12
4260.2,0.250,5.922,83.929757,29.914864,12
4260.2,0.250,6.773,95.707097,33.131240,12
4260.2,0.250,7.625,107.400376,36.770573,12
4260.2,0.250,8.477,118.999260,40.829645,12
4260.2,0.250,9.328,130.493500,45.304872,12
4260.2,0.250,10.180,141.872939,50.192297,12
4260.2,0.250,11.032,153.127522,55.487602,12
4260.2,0.250,11.883,164.247304,61.186108,12
5994.8,0.300,2.887,36.656345,21.230107,12
5994.8,0.300,4.500,56.682512,24.377478,12
5994.8,0.300,6.113,76.530821,28.886245,12
5994.8,0.300,7.726,96.138351,34.742113,12
5994.8,0.300,9.339,115.442945,41.926520,12
5994.8,0.300,10.953,134.383405,50.416691,12
5994.8,0.300,12.566,152.899689,60.185710,12
5994.8,0.300,14.179,170.933099,71.202610,12
5994.8,0.300,15.792,188.426468,83.432466,12
7194.7,0.350,0.719,9.068007,18.670956,12
